row_i,question_text,answer_yes_no,gpt_yes_no,manual_yes_no
93428,AND DO YOU REMEMBER HOW THAT CONVERSATION OCCURRED?,no,no,yes
132886,DID HE HAVE ANY OTHER FRIENDS?,no,yes,yes
91337,WAS THERE ANY INFORMATION ON THE NEWS BROADCAST ABOUT IN WHAT POSITION THE OFFICERS WERE AT THE TIME THEY WERE SHOT?,yes,yes,yes
97113,DID YOU HAVE A TIME WHERE YOU WOULD HAVE TO  28 BE AT WORK A CERTAIN TIME EACH DAY? 1,yes,yes,yes
33990,DO YOU KNOW HOW THAT GOT OPENED?,yes,yes,yes
72894,AND WHAT DOES THAT MEAN?,no,no,no
43694,SO BASICALLY YOU PREPARE A REPORT FROM MEMORY?,yes,no,yes
34746,"IF SOMEONE WERE TO ASK YOU NOW AFTER HAVING LOOKED AT HIM A NUMBER OF TIMES IN COURT, WHAT WOULD YOU SAY IS THE MOST PREDOMINANT FEATURE OF HIS HEAD, IF YOU HAD TO PICK OUT ONE THING?",no,no,no
39267,BY MR. JAFFE: WAS SOMEBODY SEATED IN THE CHAIR THAT I'M NOW POINTING TO?,yes,yes,yes
38989,COCAINE BECAME MORE PREVALENT AND THEN YOU DECIDED TO USE COCAINE?,yes,no,yes
77470,HOW CLOSE WAS MR. COOKSEY TO HIS -- THE 25 PONTIAC GRAND AM.?,no,no,no
66053,DO YOU REMEMBER THAT?,yes,yes,yes
90895,"WELL THEN, WHEN YOU FIRST CAME FORWARD ON MARCH THE 25TH OF 1993, YOU HAD NOT RECEIVED ANY MONEY?",yes,no,yes
128811,SO YOU CAN'T TELL US WHETHER IT WAS EIGHT HOURS OR SIXTY HOURS A WEEK?,yes,no,yes
33915,"SO WERE YOU ABLE TO SEE HIS ENTIRE FRONT, HIS FACE?",yes,no,yes
73041,AND IN PHOTOGRAPH G?,no,no,no
105655,RIGHT. HOW ABOUT PCP DEPENDENCE?,yes,no,yes
70816,DID ALICIA TELL YOU THAT WHAT SHE SAW HAPPENED AT NIGHTTIME?,no,yes,yes
48383,"SECOND. 1723 28 WITH THE DEFENDANT, DO YOU KNOW WHERE HE WAS LIVING ON JANUARY 31ST OF 1992?",yes,yes,yes
58900,"WHEN YOU LOOKED OUT THE BACK, THAT BACK WINDOW WHEN THE SHOTS WERE FIRED, WHAT WERE YOU LOOKING AT?",no,no,no
42308,"NOW, WHY AT THE TIME IF YOU INCLUDED THE INFORMATION PROVIDED BY MR. DICKSON ABOUT WHAT HE HAD OBSERVED INSIDE OF 11235 SOUTH ZAMORA, WHY DID YOU NOT PUT THIS OTHER INFORMATION ABOUT BEING ACCOSTED BY THE SUSPECT LATER THAT EVENING IN A POLICE REPORT?",no,no,no
56646,WHO DID YOU SAY SOMETHING TO OR DID YOU JUST SAY IT TO EVERYBODY IN THE CAR?,no,no,no
124672,WHAT DID HE SAY TO YOU?,no,no,no
131770,YOU SAY HE DOESN'T WANT YOU TO KNOW WHERE HE LIVES BECAUSE YOU TALK TOO MUCH?,no,no,yes
105341,"DOCTOR, WHEN WAS THE LAST TIME YOU EXAMINED SOMEONE WHO WAS UNDER THE INFLUENCE OF PCP?",no,yes,no
84743,DO RECALL THAT IT WAS DONE WITH A BULLHORN FROM THE BACK OF THE LOCATION. 5 WHERE WERE YOU?,no,no,no
92578,YOU RECALL IT BEING A SIGSAUER?,yes,no,yes
56363,"NOW, DID YOU SEE THE WINDOWS?",yes,no,yes
134264,ARE YOU HAVING CHEMOTHERAPY NOW?,no,no,yes
55419,DO YOU REMEMBER PARTICIPATING IN THE COMPOSITE WHERE PEOPLE'S 41 FOR IDENTIFICATION WAS PREPARED?,yes,no,yes
35941,"WHEN YOU WERE SHOWN THE PHOTOGRAPHIC 6 DISPLAY, WAS THAT AROUND THE TIME THAT CARLOS HAD BEEN KILLED?",yes,no,yes
44291,"BY MR. ARNOLD: ALL RIGHT. SO  EARLIER WHEN MR. JAFFE ASKED YOU IS THERE ANYTHING IN YOUR REPORT ABOUT HAVING MET WITH THE PAROLE OFFICER AND BERTRAND DICKSON AT THE PAROLE OFFICE AND YOU SAID, NO, THERE WASN'T, WAS THAT A MISTAKE?",yes,no,yes
57415,BUT YOU DID NOT SEE ANY SPARKS THOUGH?,no,yes,yes
108091,ARE THE COMPUTERIZED LOGS KEPT FOR A PARTICULAR LENGTH OF TIME?,no,no,no
47793,"WHEN BUSINESS WAS CLOSED ON FEBRUARY 8TH OF 1993, WAS EVERYTHING INTACT?",yes,no,yes
65604,"NOW, AT SOME POINT, DID YOU BECOME COOPERATIVE WITH THE POLICE?",yes,no,yes
82326,AND FOR HOW LONG OF A PERIOD OF TIME DID YOU KNOW THAT?,no,no,no
80203,ON HOW MANY OCCASIONS DID HE CALL YOU?,no,no,no
76897,YOU HAD AN OPPORTUNITY TO LOOK INTO THE BAG THAT MR. THOMAS GAVE YOU; CORRECT?,no,no,yes
93175,DO YOU RECALL THAT?,yes,yes,yes
96975,BUT YOU ARE ABLE TO TESTIFY THAT THE GUN  5 YOU SOLD TO CALVIN IS THE GUN THAT HE HAD PAWNED TO YOU?,yes,no,yes
54472,"WHERE YOU CAN ACTUALLY SEE THE HAIR, AND IT IS CUT IN A PARTICULAR STYLE?",yes,no,no
63488,"AFTER THIS SUSPECT GOT IN THE TRUCK, WHAT'S THE NEXT THING YOU SAW?",no,no,no
90648,YOU WERE IN COURT YESTERDAY; RIGHT?,yes,yes,yes
96954,WHY NOT?,no,no,no
125123,"NOW, DID YOU MAKE ANY STATEMENTS TO THE SUBJECT THAT YOU WANTED TO PLACE HANDCUFFS ON HIS WRISTS OR HOW DID THE RESISTING BEGIN?",no,no,no
69881,WHAT IS NICOLE'S LAST NAME?,no,no,no
97272,SO YOU REMEMBERED THAT INCIDENT?,yes,no,yes
127198,WHERE DO YOU LIVE?,no,no,no
43726,AT ANY TIME DID HE EVER TELL YOU THAT HE LEARNED THE NAME EITHER REGGIE OR REGIS FROM LORENZO FOREMAN'S BROTHER?,no,no,yes
42375,WOULD THIS BE YOUR SECOND INTERVIEW WITH BERTRAND DICKSON?,no,yes,yes
71492,HOW LONG HAVE YOU BEEN A PATROL SERGEANT?,no,no,no
37247,WAS HE SAYING ANYTHING TO YOU?,yes,no,yes
50646,AND SOME SLACKS?,yes,yes,yes
81359,"BY MR. ARNOLD: DETECTIVE BUMCROT GAVE YOU THE OPPORTUNITY SAYING WAS IT LIKE A FLAT GUN OR LIKE 17, THE GUN THAT HAS THE CYLINDER; RIGHT?",yes,no,yes
39231,"NOW, WE HAVE SOME PHOTOGRAPHS OF THE INSIDE OF THE APARTMENT, AND IF YOU CAN, YOU SEE THERE IS A BIG D WRITTEN IN THE MIDDLE HERE OF PEOPLE'S 9E?",yes,no,yes
36234,"WHAT PROMISES, IF ANY, HAVE BEEN MADE TO YOU BY ME OR ANY POLICE OFFICER IN RETURN FOR YOUR HONEST TESTIMONY?",no,no,no
53529,HOW LONG WAS THAT INTERVIEW?,no,no,no
82655,"AND THAT IF YOU DID NOT DISCLOSE THE REASON WHY YOU ASKED FOR A GUN, THAT THERE WOULD BE A SUGGESTION OR AN INFERENCE THAT HE JUST HAPPENED TO GIVE YOU A GUN FOR NO PARTICULAR REASON; RIGHT?",yes,no,yes
42502,SO BERTRAND DICKSON HAD COME TO YOU AND VOLUNTEERED THIS INFORMATION?,yes,no,yes
51810,OR POLICE OFFICERS HAD NOT ACTUALLY ARRIVED AT THE SCENE?,yes,no,yes
60415,WHAT IS YOUR ASSIGNMENT?,no,no,no
38148,WHO SPOKE FIRST?,no,no,no
134316,WHEN DID YOU MOVE TO SOUTHERN CALIFORNIA?,no,no,no
40187,AND WHO DID YOU TELL THAT FACT TO?,no,no,no
125885,YOU SAY PAINT?,no,no,yes
96106,WHAT PERIOD OF TIME?,no,no,no
39528,"NOW, AFTER THIS INCIDENT HAD OCCURRED, DID YOU HAVE SOMETHING ELSE?",no,yes,yes
67379,ABOUT THE SHAPE OF HIS HEAD; DO YOU REMEMBER THAT?,yes,no,yes
47724,"BY MR. ARNOLD: MR. GOODMAN, I AM SHOWING YOU 32 FOR IDENTIFICATION. I WOULD LIKE YOU TO TAKE A LOOK AT THE WEAPON, THE BRAND NAME, THE INSCRIPTION, AND THE 28 SERIAL NUMBER AND TELL US IF YOU HAVE SEEN THAT WEAPON BEFORE?",no,no,yes
78148,"IMMEDIATELY NEXT TO THE NUMBER 8 IN PHOTOGRAPH H, WHAT IS IT THAT WAS RECOVERED?",no,no,no
82387,"YOU THOUGHT THEY WERE TALKING THE PREVIOUS DAY, APRIL THE 5TH?",yes,no,yes
132921,WOULD YOU PLAY BASKETBALL WITH REGGIE?,yes,no,yes
46970,ONE OF THE CONDITIONS OF MR. DICKSON'S PAROLE WAS GOING TO BE NARCOTIC TESTING?,no,no,yes
109221,"AND SO IF YOU ARE PROVIDED A SAMPLE OF HAIR, FOR INSTANCE, MR. THOMAS OR ANYONE ELSE, YOU COULD TAKE THAT SAMPLE, COMPARE IT TO THE SAMPLE THAT CAME OFF OF THE GUN AND EITHER EXCLUDE OR INCLUDE HIM AS A POSSIBILITY, COULD YOU NOT?",no,no,yes
97013,"BY MR. ARNOLD: WHEN YOU SAY ABOUT, WHAT DO YOU MEAN BY ABOUT?",no,no,no
34813,AND YOU WERE ASKED BY DETECTIVE PETERSON TO LOOK AT THESE PHOTOGRAPHS TO DETERMINE WHETHER OR NOT YOU CAN MAKE AN IDENTIFICATION OF THE PERSON WHO SHOT CARLOS ADKINS; RIGHT?,yes,no,yes
124611,THEN WHAT HAPPENED?,no,no,no
94771,HE DID NOT ASK YOU FOR ANY ASSISTANCE ON HIS CASE TO -- AS A CONDITION OF HIS GIVING YOU INFORMATION ABOUT REGIS THOMAS?,no,no,yes
33356,IS UPSTAIRS?,yes,yes,yes
89068,"NOW, IS THERE SOMETHING THAT YOU WISH TO 22 EXPLAIN?",yes,no,no
95133,"THIS IS 33 DAYS AFTER THE POLICE WERE KILLED, YOU WERE ASKING HIM, DID YOU NOT, THE SOURCE OF HIS INFORMATION?",yes,no,yes
132252,IS THAT THE ONLY TIME YOU VISITED HIM?,no,yes,yes
103172,AND THIS LIVE ROUND?,no,yes,no
39864,AND IS THAT WHEN YOU TOLD THE PEOPLE WHAT HAPPENED TO CARLOS?,no,no,yes
130682,FOR HOW LONG THEN WOULD YOU HAVE BEEN NEIGHBORS WITH REGIS THOMAS?,no,no,no
81641,WAS THE GUN LOADED WHEN YOUR HUSBAND GAVE YOU THE GUN?,yes,yes,yes
82044,WHERE?,no,no,no
72909,WHERE DID THAT OCCUR?,no,no,no
50548,"AND IF YOU CAN'T TALK ABOUT FEET AND INCHES, PERHAPS YOU CAN IMAGINE THAT YOU ARE BEHIND THE WHEEL OF YOUR CAR, AND I AM THE SUSPECT, AND WE'LL TRY TO SHOW THE DISTANCES, OKAY?",no,no,no
108933,AND IS THAT THE HAIR THAT HAD BEEN REMOVED BY GISELE LAVIGNE FROM THE FIREARM THAT SHE EXAMINED?,yes,no,yes
44378,BY MR. ARNOLD: YOU MENTIONED THAT THE SOUTH BUREAU HOMICIDE HANDLES DEATHS THAT OCCUR IN THE NICKERSON GARDENS?,yes,no,yes
108081,THAT'S FOURTEEN MINUTES AFTER 11:00?,yes,no,yes
48506,AND FIVE TO SIX TIMES OVER THE FOUR-YEAR PERIOD?,no,no,yes
97307,ARE THESE YOUR INITIALS ON THE FIRST PAGE?,yes,no,yes
76652,"NOW, DID YOU NOTICE IN THIS VIDEO TAPE THE WAY IN WHICH THE HAIR WAS CUT AT THE FOREHEAD ACROSS THE FOREHEAD AND DOWN AT THE SIDES?",yes,no,yes
36805,HOW MANY PEOPLE CAME IN?,no,no,no
41634,AND WHERE DID YOU THEN GO?,no,no,no
52866,"PEOPLE'S 37 ALSO DEPICTS THE BACK OF THE TRUCK, THE PATROL VEHICLE, THE SUSPECT'S STRADDLING OFFICER BURRELL, HANDS STRETCHED OUT AND IT APPEARS THAT THERE IS A WHITE MARK AT THE END OF WHAT APPEARS TO BE A BARREL OF A GUN; CORRECT?",yes,no,yes
39018,"NOW THAT IS A CRIME OF VIOLENCE, ISN'T IT?",no,no,yes
55968,AND WHY DID ALL OF YOU GET INTO THE CAR?,no,no,no
90263,"AND YOU ALSO INDICATED -- THAT WOULD BE ABOUT THE 15TH OF MARCH, THAT IS ONE WEEK BEFORE YOUR ARREST?",no,no,yes
99867,"WHAT IS YOUR OCCUPATION, SIR?",no,no,no
130174,DID YOU PLAY SPORTS WITH REGIS?,yes,yes,yes
128498,HOW MUCH DO YOU MAKE?,no,no,no
46848,CASH OR A CHECK?,no,no,no
50862,"NOW, ONCE THE SHOTS WERE BEING FIRED, ARE YOU STILL TRAVELING WESTBOUND, OR DO YOU COME TO A STOP?",no,no,no
38798,"THEN WHEN YOU GOT OUT, YOU GOT OUT JANUARY 27TH, 1992; IS THAT RIGHT? 2",yes,yes,yes
53180,-- THAT ACCURATELY REFLECTS THE DISTANCE BETWEEN WHERE YOU SAW THE OFFICERS' VEHICLE AND THE INTERSECTION OF DWIGHT AND ROSECRANS; CORRECT?,no,no,yes
65075,AND HOW DO YOU KNOW DIANE?,no,no,no
37126,IS THIS A -- SLEEPING-TYPE CLOTHING?,yes,no,yes
65508,BY MR. ARNOLD: DID YOUR FATHER TELL YOU TO MOVE OUT OR ANYTHING SUCH AS THAT?,yes,yes,yes
53349,YES OR NO?,yes,no,yes
92406,DID YOU REMAIN IN THE CAR WHEN COOKSEY GOT  15 OUT AND SPOKE WITH ROBERT?,yes,yes,yes
37710,"AND THEN SOMETIME AFTER THAT, YOU WERE TOLD IT WAS REGGIE?",yes,no,yes
95676,DO YOU RECALL THAT IS IN YOUR REPORT?,yes,no,yes
57760,"20 YOU HAVE SEEN OF THE MAN IN THE COURTROOM, DOES HE -- HIS 21 BODY, YOU SAY HE WAS -- THE SUSPECT WAS BUILT?",yes,no,yes
108966,WHAT FINDING?,no,no,no
107568,"IS THIS THE APPROXIMATE LOCATION OF 900 CULVER, AND IS THIS THE APPROXIMATE LOCATION OF THE WILLOWBROOK LOCATION, KEEPING IN MIND THIS IS ROSECRANS AVENUE?",yes,no,yes
73085,IS THAT WHAT HAPPENED?,yes,no,yes
58732,YOU REMEMBER BEING ASKED THAT?,yes,no,yes
61386,"NOW, YOU PARKED SOMEWHERE IN THE AREA?",yes,no,yes
81138,WAS THE GUN LOADED WHEN HE GAVE IT TO YOU?,yes,yes,yes
128496,WHAT DO YOU DO?,no,no,no
72475,-- RADIO CAR?,yes,no,yes
78269,DID YOU LOOK AT ANY OR ALL OF THE HEAD STAMP -- HEAD STAMPS ON THE SHELL CASINGS THAT YOU RECOVERED?,yes,no,yes
93288,"AFTER THE PROPERTY WAS TAKEN OUT OF YOUR  23  APARTMENT, YOU WERE INTERVIEWED BY ONE OF THE  24 DETECTIVES?",yes,no,yes
34945,"BUT WOULDN'T I BE CORRECT THAT WHAT YOU SAW, IF I USE MYSELF AS A DEMONSTRATION OF CARLOS AND I TURN MY BACK TO YOU, WHAT YOU SAW WAS CARLOS AND THAT CARLOS SOMEWHAT BLOCKED THE PERSON WHO HAD THE GUN; IS THAT RIGHT?",no,no,yes
132577,WHY IS HE YOUR FAVORITE COUSIN?,no,no,no
75623,DID THAT OCCUR IN THE RAMADA INN IN COMPTON?,no,no,yes
43891,"ALL RIGHT. IN RESPECT TO THE STATEMENTS THAT YOU RECEIVED FROM THE WITNESSES THAT YOU INTERVIEWED, WOULD THAT FIRST REPORT HAVE BEEN ON MARCH 4, 1992?",yes,no,yes
77144,"NOW, HE MENTIONED BY ASKING -- MR. JAFFE -- YOU THOUGHT THAT THE WEIGHT -- AFTER YOU HELD THE GUN IN FRONT OF YOU, YOU THOUGHT THE WEIGHT OF THE GUN THAT HE HAD GIVEN YOU, THAT THE DEFENDANT HAD GIVEN YOU, WAS LIGHTER?",yes,no,yes
41542,"I TAKE IT THAT BASED UPON YOUR REVIEW OF THE CRIME SCENE LOG, DO YOU HAVE A RECOLLECTION OF WHEN THE VICTIM WAS TRANSPORTED TO THE HOSPITAL?",no,no,yes
81096,MORE LIKE A COWBOY GUN?,yes,no,yes
97415,THEY SPECIFICALLY ASKED YOU IF IT WAS DAYS AFTER THE MURDER; RIGHT?,yes,no,yes
36358,"JUST PRIOR TO YOUR BEING ARRESTED IN WHICH YOU'RE IN CUSTODY NOW FOR, DID YOU HAVE A DRUG PROBLEM?",yes,no,yes
34939,"AS YOU WERE GOING UP THE STAIRS, BECAUSE OF THE POSITION OF CARLOS AND THE POSITION OF THE OTHER PERSON, YOU WERE ESTIMATING THAT CARLOS WAS ABOUT THREE FEET FROM THAT PERSON; RIGHT?",yes,no,yes
74007,AND IS THAT PART OF YOUR DUTIES TO LOOK AT THE VARIOUS VEHICLES THAT COME IN TO GET GAS?,yes,yes,yes
128762,CLOTHING FOR YOU?,yes,no,yes
40815,ALL RIGHT. HOW DID IT OCCUR?,no,no,no
52473,WERE YOU ABLE TO SEE THE OFFICERS' FACES?,yes,yes,yes
51910,WHAT YOU THOUGHT WHO LOOKED LIKE?,no,no,no
133115,WAS THERE ONE PERSON MORE THAN THE OTHER IN THE FAMILY WHO WAS RESPONSIBLE FOR GETTING THE FAMILY TOGETHER?,no,no,no
73830,HOW OFTEN WOULD THE DEFENDANT COME INTO YOUR GAS STATION BETWEEN OCTOBER OF 1992 WHEN YOU BEGAN AND FEBRUARY THE 22ND OF 1993?,no,no,no
38648,WAS IS HE WEARING RIGHT NOW?,no,no,no
106074,AND THAT WOULD BE -- THAT WOULD BE 10:50 P.M.; CORRECT?,yes,no,yes
55990,YOU WERE PLAYING A GAME?,yes,no,yes
107031,2 28 DID YOU RETURN THE NEXT DAY TO THAT LOCATION?,yes,yes,yes
37378,WHAT HAPPENED NEXT?,no,no,no
75102,HAD YOU TOLD HIM YOUR PHONE NUMBER?,yes,no,yes
96477,DID YOU INTRODUCE HIM TO YOUR FRIENDS?,no,yes,yes
38955,"NOW FROM 1975 YOU HAD TWO BURGLARY CONVICTIONS, DID YOU GO TO PRISON?",yes,yes,yes
37204,WHAT HAPPENED NEXT?,no,no,no
87154,IS THAT CORRECT?,yes,no,yes
40762,ON ZAMORA?,yes,no,yes
42599,I'M SHOWING YOU WHAT HAS BEEN MARKED AS PEOPLE'S 11 FOR IDENTIFICATION. 1514  IS THAT THE PHOTOGRAPHIC DISPLAY THAT YOU PLACED REGIS DEON THOMAS' PHOTOGRAPH?,no,no,yes
37175,HOW MANY STEPS IF YOU CAN ESTIMATE -- HOW 1 MANY STEPS DID THE DEFENDANT RETURN SUCH THAT HE WAS ABLE TO GET TO WHERE CARLOS WAS AND POINT THE GUN AT HIM?,no,no,no
81608,THAT IS NOT UNUSUAL?,yes,no,yes
58222,BY MR. JAFFE: DID YOU HEAR THAT?,yes,yes,yes
59179,"ARE YOU ABLE TO SEE THOSE CHROME STRIPS, IN FACT, ALL THREE OF THE PHOTOGRAPHS?",yes,no,yes
45680,SO YOU ARE ABLE TO TELL BY LOOKING AT THE BRAIN WHETHER THERE WAS A DIRECT BLOW TO THE HEAD OR WHETHER THERE WAS A BLOW TO THE HEAD WHICH WAS FOR LACK OF A BETTER WORD A COUNTER BLOW TO THE HEAD; CORRECT?,yes,no,yes
75141,DID YOU GO OUT WITH HIM A SECOND TIME?,yes,no,yes
131199,WHERE DID YOU MOVE TO?,no,no,no
66511,BY MR. JAFFE: BUT YOU SAW THE WORD CHEVROLET ON THE BACK OF THE TAILGATE?,no,no,yes
50217,"NOW, YOU MENTIONED A LITTLE WHILE AGO THAT IT APPEARED TO YOU THAT THE OFFICERS WERE STRUGGLING WITH THIS OTHER MAN?",yes,no,yes
42397,DID BERTRAND DICKSON IDENTIFY ANY OF THE INDIVIDUALS?,yes,yes,yes
43519,"AS A MATTER OF FACT, YOU INDICATED ON YOUR 1547 2  DIRECT-EXAMINATION THAT YOU HAD INVESTIGATED, WAS IT TWENTY CASES SINCE THIS OR YOU HAVE TEN ACTIVE CASES; CORRECT?",yes,no,yes
124432,".  AT TEN MINUTES TO 1:00 IN THE MORNING ON FEBRUARY 16, 1990, WERE YOU SPECIFICALLY IN THE HOUSING PROJECT AT THAT TIME?",no,no,yes
63506,"WHEN THE -- WHEN THE TRUCK IS APPROACHING, WHAT -- LET ME ASK YOU THIS: WHEN THE TRUCK IS APPROACHING, ARE YOU ABLE TO SEE THE OFFICERS?",yes,yes,yes
73922,DID YOU REMEMBER THAT YOU TESTIFIED THAT YOU ONLY HAD ONE RED TRUCK CUSTOMER?,yes,no,yes
35576,"WHEN YOU JUST MENTIONED TO MR. JAFFE AND WHICH YOU MENTIONED TO ME AS YOU SAY APPROXIMATELY A WEEK AGO, YOU CAME UP WITH A NUMBER 98 PERCENT; IS THAT CORRECT?",yes,no,yes
94307,AND YOU TESTIFIED THE OTHER DAY THAT YOU MET WITH HIM IN THE GANG OFFICE OF THE JAIL?,no,no,yes
129559,"PROJECTS, I SEEN HIM IN THERE FROM TIME TO TIME IS THAT TONY'S LIQUOR?",no,no,yes
60787,AND SOME DESCRIPTION OF THE EARS WAS GIVEN TO YOU?,yes,no,yes
100532,DOES IT BEAR THE SAME CORONER'S CASE NUMBER?,yes,yes,yes
62675,BY MR. ARNOLD: YOU DON'T REMEMBER ANY SPEEDING UP?,yes,yes,yes
124755,WHAT OFFICERS?,no,no,no
36078,BUT THEN YOU CAME OUT OF YOUR ROOM AND YOU WALKED DOWN THE STAIRWAY A LITTLE BIT; RIGHT?,yes,no,yes
54599,A QUO VADIS HAIRCUT IS A SHORT HAIRCUT; CORRECT?,yes,no,yes
106318,"NOW, YOU MENTIONED AT THE END OF THE SHIFT YOU HAVE TO ADD UP CERTAIN TIMES?",no,no,yes
96359,AND ON THAT DAY WERE YOU INTERVIEWED BY DETECTIVES?,yes,yes,yes
134814,DID HE GO TO CHURCH?,yes,no,yes
48636,WHAT IS IT?,no,no,no
34137,HOW MANY TIMES WOULD YOU ESTIMATE THAT YOU HAVE SEEN ANDRE PLAY CHESS WITH CARLOS?,no,no,no
35432,DO YOU REMEMBER WHAT YOU SAID?,no,yes,no
61269,AND WHERE WAS THE BODY IN RELATIONSHIP TO THE FRONT OF THE POLICE CAR?,no,no,no
129727,ARE YOU AWARE THAT THE DEFENDANT HAS CHILDREN BY AT LEAST TWO OTHER WOMAN BESIDES YOURSELF AND DESHAUNNA?,yes,yes,yes
132239,DO YOU KNOW WHERE THAT MONEY WAS COMING FROM OR YOU SAY YOU DON'T KNOW?,yes,no,yes
128474,HAVE YOU TOLD YOUR CHILDREN THAT REGGIE WILL NOT BE COMING HOME?,yes,no,yes
37792,YOU SIGNED SOMETHING?,yes,no,yes
51492,HOW ABOUT THE HAIR? DOES THAT,no,no,no
